code,ts_code,name,industry,select_date,close,score,score_base,news_proxy_boost,volume_ratio,turnover,main_net_inflow,drawdown_from_high,market_style,regime,factor_volume_ratio,factor_drawdown,factor_inflow,factor_turnover,factor_sector,factor_pattern,factor_counter_trend,factor_wyckoff,factor_accel,pre_threshold_rank,candidate_rank,variant,selected
2869,002869.SZ,金溢科技,通信设备,20230106,26.35,63.44726955306947,63.44726955306947,0.0,3.44,7.9939,8072.34,2.7675276752767526,momentum,BULL_TREND,89.12042824636866,100.0,80.7234,100.0,51.14012775350873,33.33333333333333,0.0,70.39833098745758,0.0,1,1,A_recovered_proxy_vr1.5,True
600963,600963.SH,岳阳林纸,造纸,20230106,6.2,57.13872799732043,57.13872799732043,0.0,2.51,5.159,7534.01,2.053712480252763,momentum,BULL_TREND,66.38436820880236,100.0,75.3401,100.0,42.29814079095928,20.0,0.0,76.53424607808213,0.0,2,2,A_recovered_proxy_vr1.5,True
601222,601222.SH,林洋能源,新型电力,20230106,9.4,55.65761137043581,55.65761137043581,0.0,2.42,4.2999,16458.79,2.4896265560165998,momentum,BULL_TREND,63.75035237499349,100.0,100.0,40.0,38.55485173253436,0.0,0.0,63.8408816767991,0.0,3,3,A_recovered_proxy_vr1.5,True
2869,002869.SZ,金溢科技,通信设备,20230106,26.35,63.44726955306947,63.44726955306947,0.0,3.44,7.9939,8072.34,2.7675276752767526,momentum,BULL_TREND,89.12042824636866,100.0,80.7234,100.0,51.14012775350873,33.33333333333333,0.0,70.39833098745758,0.0,1,1,B_pure_quant_vr1.5,True
600963,600963.SH,岳阳林纸,造纸,20230106,6.2,57.13872799732043,57.13872799732043,0.0,2.51,5.159,7534.01,2.053712480252763,momentum,BULL_TREND,66.38436820880236,100.0,75.3401,100.0,42.29814079095928,20.0,0.0,76.53424607808213,0.0,2,2,B_pure_quant_vr1.5,True
601222,601222.SH,林洋能源,新型电力,20230106,9.4,55.65761137043581,55.65761137043581,0.0,2.42,4.2999,16458.79,2.4896265560165998,momentum,BULL_TREND,63.75035237499349,100.0,100.0,40.0,38.55485173253436,0.0,0.0,63.8408816767991,0.0,3,3,B_pure_quant_vr1.5,True
2869,002869.SZ,金溢科技,通信设备,20230106,26.35,63.434781775415225,63.434781775415225,0.0,3.44,7.9939,8072.34,2.7675276752767526,momentum,BULL_TREND,89.12042824636866,100.0,80.7234,100.0,51.07768886523751,33.33333333333333,0.0,70.39833098745758,0.0,1,1,A_recovered_proxy_vr1.2,True
600963,600963.SH,岳阳林纸,造纸,20230106,6.2,57.12707300735161,57.12707300735161,0.0,2.51,5.159,7534.01,2.053712480252763,momentum,BULL_TREND,66.38436820880236,100.0,75.3401,100.0,42.23986584111522,20.0,0.0,76.53424607808213,0.0,2,2,A_recovered_proxy_vr1.2,True
601222,601222.SH,林洋能源,新型电力,20230106,9.4,55.932923661353406,55.932923661353406,0.0,2.42,4.2999,16458.79,2.4896265560165998,momentum,BULL_TREND,63.75035237499349,100.0,100.0,40.0,39.931413187122345,0.0,0.0,63.8408816767991,0.0,3,3,A_recovered_proxy_vr1.2,True
2869,002869.SZ,金溢科技,通信设备,20230106,26.35,63.434781775415225,63.434781775415225,0.0,3.44,7.9939,8072.34,2.7675276752767526,momentum,BULL_TREND,89.12042824636866,100.0,80.7234,100.0,51.07768886523751,33.33333333333333,0.0,70.39833098745758,0.0,1,1,D_pure_quant_vr1.2,True
